"Specific Term","Generic Term","Associated Meeting","Proposer","Year of Proposal","Discoverer","Year of Discovery","Origin of Name","Additional Information","Coordinates","Secondary Coordinates"
"Amirante","Trench","SCUFN-15","I. M. Belousov, Institute of Oceanology of the Russian Academy of Sciences (IO RAS)",,"Russian research vessel ""Vityaz""; and British vessel HMS ""Owen""",,"Named from the nearby Amirante Islands.",,"LINESTRING (52.5 -6, 52.3999046875 -6.17222265625, 52.354741015625 -6.487267578125, 52.4010205078125 -6.6575453125, 52.4324 -6.9713, 52.492 -7.2989, 52.574 -7.6337, 52.6337 -7.9162, 52.7082 -8.2431, 52.8576 -8.5716, 53.0862 -8.8583, 53.3248 -9.0165, 53.5931 -9.0955, 53.8333 -9.0833)",
"Amirante","Basin",,,,,,,,"POINT (54.5 -7)",
"Amlia","Basin",,,,,,,,"POINT (-173 52.5)",
"Amlia","Knoll",,,,,,,,"POINT (-173.883333 53.083333)",
"Amlia","Canyon",,,,,,,,"POINT (-173.25 52.9)",
"Amonhana","Valley",,"Philippe Bouysse, French geological survey (BRGM)",,,,,"Taken from the Bathymetric chart entitled: ""Esquisse bathymétrique de l'Est-Caraïbe,"" 1984 (accompanying BRGM Document No.93; compiled by Philippe Bouysse and others).","LINESTRING (-64.133333 16.9, -63.6 17.1)",
"Ampère","Seamount",,,,,,,,"POINT (-12.916667 35.083333)",
"Amphitheatre","Escarpment",,"Troy L. Holcombe, National Geophysical Data Center (NGDC), USA",,,,"The escarpment resembles 2 amphitheatres side by side. It is not named after any associated features.","Shown as Amphitheaters Escarpment in ACUF Gazetteer.","LINESTRING (-66.666667 18.883333, -66 19.116667, -65.316667 19.166667)",
"Amphitheatre","Spur",,"Troy L. Holcombe, National Geophysical Data Center (NGDC), USA",,,,"The Spur is north east of Amphitheatre Escarpment.","Shown as Amphitheaters Ridge in ACUF Gazetteer.","LINESTRING (-65.916667 19.6, -65.083333 19.3)",
"Amukta","Canyon",,,,,,,,"POINT (-171.75 53.166667)",
"Amundsen","Ridges",,,,,,"Named after the Norwegian Polar explorer Roald Amundsen 1872-1928, who led the expedition that first reached the South Pole in 1911. He also was the first to fly over the North Pole on an airship in 1926.",,"POINT (-123 -69.25)",
"Amundsen","Basin",,,,,,"Named after the Norwegian Polar explorer Roald Amundsen 1872-1928, who led the expedition that first reached the South Pole in 1911. He also was the first to fly over the North Pole on a airship in 1926.","Shown as ""Fram Basin"" in the ACUF Gazetteer.","LINESTRING (125 81.75, 10 86.5)",
"Amundsen","Trough",,,,,,"Named after the Norvegian Polar explorer Roald Amundsen 1872-1928, who led the expedition that first reached the South Pole in 1911. He also was the first to fly over the North Pole on a airship in 1926.",,"LINESTRING (-121.783811038678 70.5285032591468, -125.065512319404 71.0258476396845)",
"Amundsen","Abyssal Plain","SCUFN-25",,,,,"Named after the Norwegian Polar explorer Roald Amundsen 1872-1928, who led the expedition that first reached the South Pole in 1911. He also was the first to fly over the North Pole on an airship in 1926.","Positions revised at SCUFN-25 (2012).","POLYGON ((-128 -61, -129 -64, -124 -64, -119 -65, -118 -61.5, -121 -60, -128 -61))",
"An-Ei","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""An-Ei""designates an era of the Japan history.","Relief: 1300 m; Least depth: 810 m. Taken from Japanese Bathymetric Chart No. 6725.","POINT (138.626667 29.275)",
"Anakena","Seamount","SCUFN-12","Daniel Scheirer, Brown University, USA",,"R/V Melville",,"Anakena is the name of a beach on Easter Island where the first settlers landed.","100% multibeam coverage (Seabeam 2000) and GPS navigation.","POINT (-113.7 -17.583333)",
"Anakena","Ridge","SCUFN-12","Daniel Scheirer, Brown University, USA",,"R/V Melville",,"Anakena is the name of a beach on Easter Island where the first settlers landed.","100% multibeam coverage (Seabeam 2000) and GPS navigation. Shown as Seamount Chain in ACUF Gazetteer.","LINESTRING (-114.666667 -17.316667, -113.466667 -17.616667)",
"Anashkin","Seamount","SCUFN-18",,,,,"Aleksey Alekseyevich Anashkin (1914-1987) was a hydrographer for the Pacific Fleet, at HDNO. He conducted hydrographic research in the Far East seas.","Minimum depth: 1060 m; Total relief: 2340 m. The seamount is located west of Scott Seamounts. It has an oval shape, with a steepness of 20°.","POINT (177.566666666667 -68.3166666666667)",
"Anaximander","Seamounts",,,,,,,"Formerly, Anaximander Mountains. Shown as Anaximander Ridge in ACUF Gazetteer.","POINT (30 35.5)",
"Anchise","Seamount",,,,,,,,"POINT (12.816667 38.683333)",
"Andaman","Basin",,,,"U.S. research vessel ""Thomas Washington""",,,,"POINT (94.5 10.5)",
"Andaman-Nicobar","Ridge","SCUFN-25",,,,,,,"LINESTRING (93.4379792501231 14.3762136245767, 92.7771253019779 13.120591123101, 92.6119118149417 11.8649686216251, 92.4797410253127 10.4276112844095, 92.8266893480888 8.9572112497866, 93.4379792501231 7.1068201949801, 94.065790500861 5.4051212785062, 94.4457815210445 4.4799257511031)",
"Andenes","Knoll","SCUFN-12","Heinrich Hinze, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany",,,,"Named after the Norwegian R/V""Andenes""which carried out geophysical research in this part of the Weddell Sea.","Least depth: 3450 m.","POINT (-23 -72.4)",
"Anderle","Knoll","SCUFN-12","Heinrich Hinze, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany",,,,"Named after Richard J. Anderle (1926-1994), an expert of the dynamic geodesy methods of positioning by satellite.",,"POINT (-9.14282226542039 -67.470551745814)",
"Andrew","Guyot","SCUFN-13","Robert L. Fisher, Scripps Institution of Oceanography (SIO), USA",,,,,"Shown as Andrew Tablemount in ACUF Gazetteer.","POINT (50.5 6.75)",
"Andrew Bain","Fracture Zone",,"Robert L. Fisher, Scripps Institution of Oceanography (SIO), USA; and Christopher J. H. Hartnady, University of Cape Town, South Africa",,"South African re-supply ships",,"Andrew Geddes Bain (""Father of South African Geology"": A. du Toit) was a mid-1800's field geologist-mapmaker-stratigrapher who noted similarities between fossil plants of Falklands-South Africa-Australia, in a sense anticipating Gondwanaland.","Shown as Bain F.Z. in ACUF Gazetteer.","LINESTRING (24.5 -56, 27.666667 -53, 28.866667 -51, 32.8 -46, 34.25 -43)",
"Andromeda","Seamount",,"Jean-René Vanney, University of Paris IV, France",,,,"Named after the Portuguese Hydrographic Survey Ship ""Andromeda"".",,"POINT (-13.9123596188205 40.1350542546552)",
"Anegada","Ridge",,"Troy L. Holcombe, National Geophysical Data Center (NGDC), USA",,,,"Named after the adjacent Anegada Island.",,"LINESTRING (-64 18.783331, -63.9316816 18.8783038, -63.8315886 18.964341, -63.7579316 18.9896826, -63.630394 19.0004324, -63.48333 19.049999, -63.369184 19.1140304, -63.2658624 19.1263064, -63.1689982 19.1201686, -63.1124942 19.0741266, -63.0947358 19.0203944, -63.0156302 18.9804678, -62.9092816 18.965109, -62.783329 18.966669)",
"Anegada","Gap",,"Troy L. Holcombe, National Geophysical Data Center (NGDC), USA; and Advisory Committee on Undersea Features (ACUF) of the U.S. Board on Geographic Names",,,,,"Replaces Sombrero Passage which appears on some nautical charts.","LINESTRING (-64.6 18.083333, -64.233333 18.366667, -63.983333 18.6)",
"Anejima","Knoll","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby island of Anejima.","Relief: 600 m; Least depth: 1530 m.","POINT (142.3 25.25)",
"Angola","Abyssal Plain",,,,,,,"Shown as Plain in ACUF Gazetteer.","POINT (2 -12.75)",
"Angola","Basin",,,,,,"Named from the nearby State of Angola.",,"LINESTRING (3 -9, 3.41761120000001 -11.3731434, 3.41761120000001 -14.6211756, 3.08932239999999 -17.563842, 2.37305559999999 -19.3580104, 1 -21)",
"Anguilla","Bank",,"Troy L. Holcombe, National Geophysical Data Center (NGDC), USA; and Advisory Committee on Undersea Features (ACUF) of the U.S. Board on Geographic Names",,,,,,"POINT (-63.05 18.5)",
"Anguillita","Spur",,"Philippe Bouysse, French geological survey (BRGM)",,,,,"Taken from bathymetric chart entitled: Esquisse bathymétrique de l'Est-Caraïbe, 1984 (accompanying BRGM Document No.93 compiled by Philippe Bouysse and others).","LINESTRING (-63.716667 18.183333, -63.466667 18.066667, -63.233333 18.133333)",
"Anikeeva","Knoll","SCUFN-24","State Scientific Centre ""Yuzhmorgeologiya"" (Kruglyakov, V.V., Melnikov, M.E.), Russia, State Scientific Centre ""Yuzhmorgeologiya"", Russia",,"RV ""Gelendzhik""",,"Proposer: V.V. Kruglyakov, M.E. Melnikov, State Scientific Centre YUZHMORGEOLOGIYA, Russia (ocean@ymg.ru)
Date of Proposal: 2011
Discoverer: RV ¿Gelendzhik¿
Date of Discovery: 1999

Named after L.I.Anikeeva (1930 ¿ 2009), a leading expert in studying ocean ferromanganese ore genesis. L.I.Anikeeva worked in VNIIOkeangeologia (St.-Petersburg) and participated in six ocean expeditions, some of them being conducted in the Clarion-Clipperton zone. She developed the system approach to study ferromanganese nodules and ocean crust. L.I.Anikeeva published more than 100 scientific papers (including 5 monographies), many of them being devoted to geological structure and mineralization in the area of the Clarion and Clipperton fracture zones.","Position: Pacific Ocean
Minimum Depth: 4175 m
Maximum Depth: 4800 ¿ 4850 m
Total Relief: 675 m
Dimension/Size: 3.5 × 7 miles

Proposed as: Anikeeva Hill.","POINT (-134.701 13.042)",
"Animal","Basin",,,,,,,,"POINT (-117.583333 31.333333)",
"Animal","Banks",,"Philippe Bouysse, French geological survey (BRGM)",,,,,,"POINT (-62.333333 17.65)",
"Anita Conti","Seamounts",,"Olivier Parvillers, French Hydrographic Office (SHOM)",,,,"Anita Conti (1899-1997) was a renowned French oceanographer. She is well known in particular to have drawn fishing maps of the West Northern Africa (Morocco, Mauritania, Côte d'Ivoire).","Replaces propositions regarding toponyms Blue Pig Knolls and Tongue Seamount submitted in January 2000.","LINESTRING (-19.25 7, -19.383333 5)",
"Anita Jones","Seamount","SCUFN-12","RAdm P.G. Gaffney, NMO, USA",,"USCGS Pioneer",,"Anita Jones is cited as""orchestrating significant advances in (U.S.) Navy Oceanography computational capacity... etc.""","Shown as A. Jones Seamount in ACUF Gazetteer.","POINT (-159.166667 51.416667)",
"Ann  Judge","Seamount","SCUFN-15","Gail Susan Cleere, National Geographic Society, USA",,"NOAA R/V Oceanographer",,"Ann Judge National Geographic Society, dedicated to geography and oceanography education, worked in the Society's Geography Education Foundation as well as with the U.S. Navy on Project Marco Polo. She died on American Airlines Flight 77's crash into the Pentagon on 11 September 2001.","Relief: 2500 m; Least depth: 2924 m. Shown as Judge Seamount in ACUF Gazetteer.","POINT (172.433333 30.516667)",
"Anna De Koningh","Seamount",,"Hugh W. Bergh, Wits Bernard Price Institute (BPI), South Africa; and Robert L. Fisher, Scripps Institution of Oceanography (SIO), USA",,"R/V Agulhas, Cruise 22",,"Anna, a Bengalese, arrived at the Cape in 1655 in early childhood, and became a successful vegetable trader in Cape Town. She married a white settler in 1669 and a Dutch East India company soldier, Olof Bergh, between 1676 and 1687. After eventful and controversial careers, Bergh and wife became by 1715 the""most considerable landowners""of all the prospering officials in a free-booting era.","Extensive summit, minimum depth 207 m. Shown as De Koningh Seamount in ACUF Gazetteer.","POINT (24.983333 -53.366667)",
"Annaba","Canyons",,,,,,,,"POINT (7.666667 37.116667)",
"Anschütz-Kämpfe","Trough",,"Heinrich Hinze, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany",,,,"Named after Herman Anschütz-Kämpfe (1872-1931) who suggested a submarine research expedition below the polar sea ice in 1901.",,"POINT (-12.5 -71.5)",
"Antalya","Basin",,,,,,,,"POINT (31.5 36)",
"Antalya","Canyon",,"NBGN",,"Turkish reseach vessel ""Çandarli""",,,,"POINT (30.75 36.666667)",
"Antandroy","Seamount","SCUFN-16","Jean-René Vanney, University of Paris IV, France",,,,"Named after the Malagasy ancient kingdom (modern times) and tribe, established in the coastal region of the SW of Madagascar.",,"POINT (41.633333 -17.383333)",
"Antarctic","Canyon",,,,,,"Most likely named after the Norwegian whaler ""Antarctic"" sent out in 1984-1995 to investigate reports of commercially profitable whales.",,"LINESTRING (-41.2500000638206 -71.4999999730149, -38.8000000617344 -69.7166667070263, -35.6333333040185 -68.8333334106207, -30.5000000663608 -68.333333406297, -27.8333333129686 -67.5666666311352)",
"Antares","Bank",,,,,,,,"POINT (49.766667 -45.183333)",
"Antialtair","Seamount",,,,,,,,"POINT (-22.3919474293051 43.5733847693175)",
"Antigonia","Reef",,"Bertrand  Richer de Forges, French Institute of Research for the Development (IRD, formerly ORSTOM)",,"N.O. Coriolis",,"So called due to the presence of a number of Antigonia fish species being caught by experimental trawlers in the area.",,"POINT (168.083333 -23.333333)",
"Antigua","Valley",,"Philippe Bouysse, French geological survey (BRGM)",,,,,"Taken from bathymetric chart entitled: Esquisse bathymétrique de l'Est-Caraïbe, 1984 (accompanying BRGM Document No.93 compiled by Philippe Bouysse and others).","LINESTRING (-61.466667 17, -61.466667 17.416667, -60.916667 17.916667)",
"Antiope","Reef","SCUFN-14",,,,,"Origin of name unknown.","Taken from NZOI Bathymetric map ""Tonga.""","POINT (168.433333 -18.25)",
"Antipodes","Fracture Zone","SCUFN-25","Steven C. Cande, Scripps Institution of Oceanography (SIO), USA",,,,"Name taken from the nearby""Antipodes Islands."""," Feature previously updated at SCUFN-12. Feature previously updated at SCUFN-12.","LINESTRING (-130.20536 -67.262691, -134.03106 -65.27369, -137.10187 -64.051408, -141.06523 -62.978299, -145.86219 -62.202172, -152.55502 -60.73402, -158.99798 -58.893873, -165.31857 -56.554107, -169.69412 -54.136291, -173.25794 -52.167416, -175.36751 -50.323395)",
"Anton Bruun","Rise",,"Robert L. Fisher, Scripps Institution of Oceanography (SIO), USA",,"R/V Anton Bruun",,"Named after Dr. Anton Bruun, the eminent Danish marine scientist who was the first Chairman of the IOC (elected 27 October 1961, died 13 December 1961).","Feature: Ridge; better as Rise. Anton Bruun Ridge in ACUF Gazetteer.","LINESTRING (51.333333 -8.85, 51.75 -8.8)",
"Anton Dohrn","Seamount",,,,,,,,"POINT (-11.166667 57.416667)",
"Anton Leonov","Seamount","SCUFN-13","Dr. G. Udintsev, RAS, Vernadsky Inst. of Geochemistry, GEBCO",,"R/V Akademik Boris Petrov",,"Anton Leonov (1919-1994) was a long-time navigator of Soviet Research Ships and developer of echo sounders.","Isolated seamount with elevation 1200 m.","POINT (7.758333 -39.866667)",
"Antonio de Freitas","Hill","SCUFN-14","Jean-René Vanney, University of Paris IV, France; and Portuguese Hydrographic Office (Instituto Hidrografico)",,,,"Name of one of the first inhabitants of Azores Central Islands (Graciosa).","Relief about 800 m.","POINT (-28.666667 39.533333)",
"Anyongbok","Seamount","SCUFN-20","Korea Committee on Marine Geographical Names (KCMGN), KCMGN, 195 Seohaero, Jung-gu, Incheon, 400-800, Republic of Korea",,"Korean research vessel ""Haeyang 2000""",,"Named after the Korean navigator, An Yong-Bok, who explored Ulleung Do (Ulleung Island) in the 17th century. He also served as a civilian diplomat and dedicated his life to developing fishing industries.","Minimum depth: 457 m; Maximum depth: 2100 m; Total relief: ~1600 m. The feature has a circular shape in the plane view and a conical shape in the vertical view.","POINT (131.358333333333 37.5083333333333)",
"Aoi","Seamount Chain","SCUFN-26","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan","2013","Japanese survey vessel ""Takuyo""","1997","Named after the Aoi Matsuri, a Japanese traditional festival which is one of Kyoto's three most famous festivals (along with the Gion Matsuri and Jidai Matsuri) and takes place every May 15. The festival's main attraction is a large parade in Kyoto, in which over 500 people dressed in the aristocratic style of the Heian Period (794-1185) walk from the Imperial Palace to the Kamo Shrines. Aoi is the Japanese term for Hollyhock, and the festival is named after the Hollyhock leaves that are worn by the members of the procession.","Similar structures are seen in the Pacific near Easter Island [N. Binard, P. Stoffersa, R. Hékinianb, R.C. Searlecref: 1996. Intraplate en echelon volcanic ridges in the South Pacific, west of the Easter microplate. Tectonophysics, Volume 263, Issues 1-4, 15 October 1996, Pages 23-37].","POINT (131.9057 20.4743)","POLYGON ((131.8505 20.5577, 131.7908 20.5373, 131.769 20.4675, 132.012 20.2098, 132.0062 19.9683, 132.031 19.9362, 132.0907 19.9158, 132.1242 19.9478, 132.1473 20.2215, 131.9335 20.5343, 131.8505 20.5577))"
"Aorangi","Ridge","SCUFN-26","New Zealand Geographic Board (NZGB), New Zealand Board of Geographical Names (NZGB),
GNS Science, 1 Fairway Drive Avalon, Lower Hutt, Wellington, New Zealand","2013",,,,"Adopted from NZGB Gazetteer","POINT (176.8667 -41.5167)",
"Aorangi ","Trough","SCUFN-26","New Zealand Geographic Board (NZGB), New Zealand Board of Geographical Names (NZGB),
GNS Science, 1 Fairway Drive Avalon, Lower Hutt, Wellington, New Zealand","2013",,,,"Adopted from NZGB Gazetteer","POINT (176.7667 -41.5167)",
"Aotea","Seamount","SCUFN-25","New Zealand Geographic Board (NZGB), New Zealand Board of Geographical Names (NZGB),
GNS Science, 1 Fairway Drive Avalon, Lower Hutt, Wellington, New Zealand","2012","Not provided",,"Named in association with Aotea Harbour.","Irregular-topped seamount. 
References: Baldwin & Lewis, 1991 (Cook Chart); NIWA/Ministry of Fisheries Database.","POINT (172.1798 -37.5103)","POLYGON ((172.3911 -37.4386, 172.2894 -37.4505, 171.9631 -37.4775, 171.8747 -37.5455, 171.9833 -37.5833, 172.1683 -37.5861, 172.4142 -37.5378, 172.5772 -37.4672, 172.3911 -37.4386))"
